Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,29598,MOSAVEGUR,,,,,,,364753.3,408243.1,,,,,,,J,,8,,,,,,,,,,,
,,,,29599,MOSAVEGUR,,,,,,,364825.7,408247.4,,,,,,,J,,8,,,,,,,,,,,
,,,,29600,MOSAVEGUR,,,,,,,364861.4,408265.4,,,,,,,J,,8,,,,,,,,,,,
,,,,29601,MOSAVEGUR,,,,,,,364928.2,408307.5,,,,,,,J,,8,,,,,,,,,,,
,,,,29602,MOSAVEGUR,,,,,,,364994.6,408342.1,,,,,,,J,,8,,,,,,,,,,,
,,,,29603,MOSAVEGUR,,,,,,,365032.5,408342,,,,,,,J,,8,,,,,,,,,,,
,,,,29604,STARENGI,,,,,,,365077.8,408325.2,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29605,STARENGI,,,,,,,365036.1,408296.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29606,STARENGI,,,,,,,365078.9,408293.6,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29607,STARENGI,,,,,,,365096.6,408285.1,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29608,STARENGI,,,,,,,365113.1,408248.4,,,,,,,J,,6.3,,,,,,,,,,,
,,,,29637,STRANDVEGUR,,,,,,,363698.6,408515.8,,,,,,,J,,10,,,,,,,,,,,
,,,,29643,STRANDVEGUR,,,,,,,364176,408874.2,,,,,,,J,,10,,,,,,,,,,,
,,,,29644,STRANDVEGUR,,,,,,,364263.7,408882.8,,,,,,,J,,10,,,,,,,,,,,
,,,,29649,MIKLABRAUT,,,,,,,360857.5,405806.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29650,MIKLABRAUT,,,,,,,360848.1,405813,,,,,,,J,,5,,,,,,,,,,,
,,,,29651,MIKLABRAUT,,,,,,,360827.4,405824.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29652,MIKLABRAUT,,,,,,,360797.5,405823.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29655,MIKLABRAUT,,,,,,,360815.2,405747.8,,,,,,,J,,5,,,,,,,,,,,
,,,,29656,MIKLABRAUT,,,,,,,360826.5,405741,,,,,,,J,,5,,,,,,,,,,,
,,,,29657,MIKLABRAUT,,,,,,,360840.2,405730.6,,,,,,,J,,5,,,,,,,,,,,
,,,,29658,MIKLABRAUT,,,,,,,360858.5,405722.5,,,,,,,J,,5,,,,,,,,,,,
,,,,29673,SÆVARHÖFÐI,,,,,,,361682.3,405564.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29674,SÆVARHÖFÐI,,,,,,,361705.4,405640.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29675,SÆVARHÖFÐI,,,,,,,361750,405705.8,,,,,,,J,,5,,,,,,,,,,,
,,,,29676,SÆVARHÖFÐI,,,,,,,361809.2,405757.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29677,SÆVARHÖFÐI,,,,,,,361854.8,405823.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29678,SÆVARHÖFÐI,,,,,,,361856.5,405903.8,,,,,,,J,,5,,,,,,,,,,,
,,,,29679,SÆVARHÖFÐI,,,,,,,361869.5,405980.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29680,SÆVARHÖFÐI,,,,,,,361908.3,406049.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29681,SÆVARHÖFÐI,,,,,,,361949.8,406118.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29682,SÆVARHÖFÐI,,,,,,,361963.2,406196.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29683,SÆVARHÖFÐI,,,,,,,362023.8,406245.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29684,SÆVARHÖFÐI,,,,,,,362089.6,406266.3,,,,,,,J,,5,,,,,,,,,,,
