WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.77585445 64.14776801)",344,Reyrengi 15,-21.77585445,64.14776801,x
"POINT (-21.86689158 64.1457233)",348,Vesturbrún 9,-21.86689158,64.1457233,x
"POINT (-21.88060559 64.1505857)",349,Kleppsvegur 8,-21.88060559,64.1505857,x
"POINT (-21.88950583 64.12908579)",350,Hvassaleiti 77,-21.88950583,64.12908579,x
"POINT (-21.8429017 64.10822688)",355,Þönglabakki 1,-21.8429017,64.10822688,x
"POINT (-21.89274692 64.13715015)",359,Álftamýri 8,-21.89274692,64.13715015,x
"POINT (-21.89448981 64.13507496)",360,Álftamýri 38,-21.89448981,64.13507496,x
"POINT (-21.88778742 64.13633774)",362,Háaleitisbraut 20a,-21.88778742,64.13633774,x
"POINT (-21.88674881 64.13460046)",363,Háaleitisbraut 38,-21.88674881,64.13460046,x
"POINT (-21.88423887 64.13387733)",364,Háaleitisbraut 44,-21.88423887,64.13387733,x
"POINT (-21.88777185 64.13252233)",365,Safamýri 34,-21.88777185,64.13252233,x
"POINT (-21.93255258 64.13130337)",374,Loftleiðir,-21.93255258,64.13130337,x
"POINT (-21.79431028 64.10296819)",377,Brekknaás,-21.79431028,64.10296819,x
"POINT (-21.75416029 64.212523)",378,Stekkur,-21.75416029,64.212523,x
"POINT (-21.9397785 64.15692716)",379,Eyjaslóð 1,-21.9397785,64.15692716,x
"POINT (-21.95865905 64.14068289)",382,Fornhagi 9,-21.95865905,64.14068289,x
"POINT (-21.88985432 64.13975119)",385,Suðurlandsbraut 2,-21.88985432,64.13975119,x
"POINT (-21.78204835 64.1504386)",387,Mosavegur,-21.78204835,64.1504386,x
"POINT (-21.85314677 64.23975604)",388,Lykkja,-21.85314677,64.23975604,x
"POINT (-21.87957841 64.13251783)",398,Fellsmúli 9,-21.87957841,64.13251783,x
"POINT (-21.90187073 64.14115744)",400,Laugavegur 172,-21.90187073,64.14115744,x
"POINT (-21.94164853 64.15484634)",401,Grandabryggja,-21.94164853,64.15484634,x
"POINT (-21.85306 64.14299601)",403,Kleppsvegur 120,-21.85306,64.14299601,x
"POINT (-21.82516194 64.23700594)",404,Kléberg,-21.82516194,64.23700594,x
"POINT (-21.85772836 64.13128943)",405,Snekkjuvogur 9,-21.85772836,64.13128943,x
"POINT (-21.87156269 64.12316672)",407,Hólmgarður 39,-21.87156269,64.12316672,x
"POINT (-21.91108398 64.14483137)",408,Þórunnartún 2,-21.91108398,64.14483137,x
"POINT (-21.84149399 64.13930452)",414,Kjalarvogur 17A,-21.84149399,64.13930452,x
"POINT (-21.87568222 64.13165156)",415,Grensásvegur 16,-21.87568222,64.13165156,x
"POINT (-21.87863 64.137298)",417,Ármúli 17,-21.87863,64.137298,x
"POINT (-21.878311 64.14839366)",422,Leirulækur,-21.878311,64.14839366,x
"POINT (-21.96299304 64.1457608)",423,Kaplaskjólsvegur 31,-21.96299304,64.1457608,x
"POINT (-21.86295199 64.14734562)",426,Kleppsvegur 74,-21.86295199,64.14734562,x
"POINT (-21.87389668 64.12781165)",427,Akurgerði 17,-21.87389668,64.12781165,x
"POINT (-21.8043644 64.11570901)",428,Hlaðbær,-21.8043644,64.11570901,x
"POINT (-21.93517346 64.13761597)",432,Umferðarmiðstöðin,-21.93517346,64.13761597,x
"POINT (-21.78441065 64.14775292)",433,Fróðengi 1,-21.78441065,64.14775292,x
"POINT (-21.8058945 64.11802652)",435,Rofabær 5-7,-21.8058945,64.11802652,x
"POINT (-21.80205993 64.11724442)",436,Rofabær 17,-21.80205993,64.11724442,x
