hs,heimilisfang,titill,verkefni,comment,hs_skipti,lon,lat,lukor
305,Kleppsvegur 52,HS_305 - Kleppsvegur 52,,,2023,-21.871126210,64.149411610,https://lukor.or.is/lukor/gotuljosakort.html?dnr=305
308,Rauðalækur 11,HS_308 - Rauðalækur 11,,,,-21.882096490,64.149417520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=308
309,Garðsendi 6,HS_309 - Garðsendi 6,,,2022,-21.852815480,64.122925240,https://lukor.or.is/lukor/gotuljosakort.html?dnr=309
310,Ármúli 27,HS_310 - Ármúli 27,,,2023,-21.873716000,64.136147000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=310
315,Birkihlíð 6,HS_315 - Birkihlíð 6,,,2023,-21.901550430,64.124765740,https://lukor.or.is/lukor/gotuljosakort.html?dnr=315
321,Kirkjuland,HS_321 - Kirkjuland,,,2024,-21.789886730,64.217758820,https://lukor.or.is/lukor/gotuljosakort.html?dnr=321
322,Dugguvogur 11,HS_322 - Dugguvogur 11,,,2023,-21.847380540,64.129795660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=322
325,Rauðavatn,HS_325 - Rauðavatn,,,2023,-21.779746240,64.111437680,https://lukor.or.is/lukor/gotuljosakort.html?dnr=325
327,Goðheimar 54,HS_327 - Goðheimar 54,,,2022,-21.861316470,64.135997530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=327
331,Ármúli 31,HS_331 - Ármúli 31,,,max 15 lampar,-21.874138080,64.134056240,https://lukor.or.is/lukor/gotuljosakort.html?dnr=331
332,Gnoðarvogur 20,HS_332 - Gnoðarvogur 20,,,2022,-21.865119740,64.132662020,https://lukor.or.is/lukor/gotuljosakort.html?dnr=332
344,Reyrengi 15,HS_344 - Reyrengi 15,,,2022,-21.775854450,64.147768010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=344
348,Vesturbrún 9,HS_348 - Vesturbrún 9,,,2022,-21.866891580,64.145723300,https://lukor.or.is/lukor/gotuljosakort.html?dnr=348
349,Kleppsvegur 8,HS_349 - Kleppsvegur 8,,,2023,-21.880605590,64.150585700,https://lukor.or.is/lukor/gotuljosakort.html?dnr=349
350,Hvassaleiti 77,HS_350 - Hvassaleiti 77,,,2022,-21.889505830,64.129085790,https://lukor.or.is/lukor/gotuljosakort.html?dnr=350
355,Þönglabakki 1,HS_355 - Þönglabakki 1,,,2022,-21.842901700,64.108226880,https://lukor.or.is/lukor/gotuljosakort.html?dnr=355
359,Álftamýri 8,HS_359 - Álftamýri 8,,,2022,-21.892746920,64.137150150,https://lukor.or.is/lukor/gotuljosakort.html?dnr=359
360,Álftamýri 38,HS_360 - Álftamýri 38,,,2022,-21.894489810,64.135074960,https://lukor.or.is/lukor/gotuljosakort.html?dnr=360
362,Háaleitisbraut 20a,HS_362 - Háaleitisbraut 20a,,,2022,-21.887787420,64.136337740,https://lukor.or.is/lukor/gotuljosakort.html?dnr=362
363,Háaleitisbraut 38,HS_363 - Háaleitisbraut 38,,,2022,-21.886748810,64.134600460,https://lukor.or.is/lukor/gotuljosakort.html?dnr=363
364,Háaleitisbraut 44,HS_364 - Háaleitisbraut 44,,,2023,-21.884238870,64.133877330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=364
365,Safamýri 34,HS_365 - Safamýri 34,,,2022,-21.887771850,64.132522330,https://lukor.or.is/lukor/gotuljosakort.html?dnr=365
374,Loftleiðir,HS_374 - Loftleiðir,,,2023,-21.932552580,64.131303370,https://lukor.or.is/lukor/gotuljosakort.html?dnr=374
377,Brekknaás,HS_377 - Brekknaás,,,2023,-21.794310280,64.102968190,https://lukor.or.is/lukor/gotuljosakort.html?dnr=377
378,Stekkur,HS_378 - Stekkur,,,2024,-21.754160290,64.212523000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=378
379,Eyjaslóð 1,HS_379 - Eyjaslóð 1,,,Faxaflóahafnir,-21.939778500,64.156927160,https://lukor.or.is/lukor/gotuljosakort.html?dnr=379
382,Fornhagi 9,HS_382 - Fornhagi 9,Vesturbær,,2023,-21.958659050,64.140682890,https://lukor.or.is/lukor/gotuljosakort.html?dnr=382
385,Suðurlandsbraut 2,HS_385 - Suðurlandsbraut 2,,,,-21.889854320,64.139751190,https://lukor.or.is/lukor/gotuljosakort.html?dnr=385
387,Mosavegur,HS_387 - Mosavegur,,,,-21.782048350,64.150438600,https://lukor.or.is/lukor/gotuljosakort.html?dnr=387
388,Lykkja,HS_388 - Lykkja,,,,-21.853146770,64.239756040,https://lukor.or.is/lukor/gotuljosakort.html?dnr=388
398,Fellsmúli 9,HS_398 - Fellsmúli 9,,,,-21.879578410,64.132517830,https://lukor.or.is/lukor/gotuljosakort.html?dnr=398
400,Laugavegur 172,HS_400 - Laugavegur 172,,,,-21.901870730,64.141157440,https://lukor.or.is/lukor/gotuljosakort.html?dnr=400
401,Grandabryggja,HS_401 - Grandabryggja,,,Faxaflóahafnir,-21.941648530,64.154846340,https://lukor.or.is/lukor/gotuljosakort.html?dnr=401
403,Kleppsvegur 120,HS_403 - Kleppsvegur 120,,,,-21.853060000,64.142996010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=403
404,Kléberg,HS_404 - Kléberg,,,,-21.825161940,64.237005940,https://lukor.or.is/lukor/gotuljosakort.html?dnr=404
405,Snekkjuvogur 9,HS_405 - Snekkjuvogur 9,,,2022,-21.857728360,64.131289430,https://lukor.or.is/lukor/gotuljosakort.html?dnr=405
407,Hólmgarður 39,HS_407 - Hólmgarður 39,,,2023,-21.871562690,64.123166720,https://lukor.or.is/lukor/gotuljosakort.html?dnr=407
408,Þórunnartún 2,HS_408 - Þórunnartún 2,,,,-21.911083980,64.144831370,https://lukor.or.is/lukor/gotuljosakort.html?dnr=408
414,Kjalarvogur 17A,HS_414 - Kjalarvogur 17A,,,Faxaflóahafnir,-21.841493990,64.139304520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=414
415,Grensásvegur 16,HS_415 - Grensásvegur 16,,,,-21.875682220,64.131651560,https://lukor.or.is/lukor/gotuljosakort.html?dnr=415
417,Ármúli 17,HS_417 - Ármúli 17,,,,-21.878630000,64.137298000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=417
422,Leirulækur,HS_422 - Leirulækur,,,2022,-21.878311000,64.148393660,https://lukor.or.is/lukor/gotuljosakort.html?dnr=422
423,Kaplaskjólsvegur 31,HS_423 - Kaplaskjólsvegur 31,Vesturbær,,2023,-21.962993040,64.145760800,https://lukor.or.is/lukor/gotuljosakort.html?dnr=423
426,Kleppsvegur 74,HS_426 - Kleppsvegur 74,,,,-21.862951990,64.147345620,https://lukor.or.is/lukor/gotuljosakort.html?dnr=426
427,Akurgerði 17,HS_427 - Akurgerði 17,,,max 15 lampar,-21.873896680,64.127811650,https://lukor.or.is/lukor/gotuljosakort.html?dnr=427
428,Hlaðbær,HS_428 - Hlaðbær,,,2022,-21.804364400,64.115709010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=428
432,Umferðarmiðstöðin,HS_432 - Umferðarmiðstöðin,,,,-21.935173460,64.137615970,https://lukor.or.is/lukor/gotuljosakort.html?dnr=432
433,Fróðengi 1,HS_433 - Fróðengi 1,,,2023,-21.784410650,64.147752920,https://lukor.or.is/lukor/gotuljosakort.html?dnr=433
435,Rofabær 5-7,HS_435 - Rofabær 5-7,,,2023,-21.805894500,64.118026520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=435
436,Rofabær 17,HS_436 - Rofabær 17,,,2023,-21.802059930,64.117244420,https://lukor.or.is/lukor/gotuljosakort.html?dnr=436
437,Rofabær 27,HS_437 - Rofabær 27,,,2022,-21.797048190,64.116529800,https://lukor.or.is/lukor/gotuljosakort.html?dnr=437
